N,triplet_id,member,p2,p3,p4,s0,s1,s2,s3,s4,s5,s6,s7,geometric_mean_logdet,harmonic_mean,minimum_singular_value,inverse_condition_number,low_tail_log_resolvent_lambda_0.02,low_tail_log_resolvent_lambda_0.05,low_tail_log_resolvent_lambda_0.10,low_tail_log_resolvent_lambda_0.20
8,0,LOW,0.9999999999999999,1.193037512437197,1.521453456318112,0.8406648186316544,0.9166401564038639,0.1078656747220946,0.7009220393414489,1.5860584779710836,0.7794114547935743,1.135035934627084,1.240466240194756,0.751202300184397,0.4825483836667459,0.1078656747220946,0.06800863664250163,-0.5675300174817306,-0.5453010410059163,-0.48455668480349906,-0.3464353555728056
8,0,MID,0.9999999999999998,1.193037512437197,1.5214534563181117,0.8406648186316544,1.0805811913896515,0.2697777384636486,0.5228061268041307,1.5860584779710836,0.7794114547935743,1.135035934627084,1.1696796111898617,0.8229030949746824,0.7027437658026148,0.2697777384636486,0.17009318522022812,-0.38867470163928897,-0.3826570665701029,-0.36201290606096237,-0.2895520066268181
8,0,HIGH,0.9999999999999998,1.193037512437197,1.5214534563181117,0.8639401623087065,1.4693560874492009,0.6177209178625086,0.5228061268041307,0.8362221819273489,0.49434944249130625,1.247767470448021,1.3925236574256428,0.8582809214985162,0.7914574981529142,0.49434944249130625,0.33643951028201463,-0.30490993965941315,-0.30105062992740284,-0.28744985399872447,-0.23566915046458992
8,1,LOW,0.9999999999999999,1.346954033969684,1.9044123334485097,1.1237570739654192,1.1878251994458358,0.12023535439707139,1.623668148415557,0.5079728250133928,1.4607476679470912,0.5317383980297196,0.030342599489519832,0.4861442071257869,0.16612869707533812,0.030342599489519832,0.018687685361771372,-1.39350158479055,-1.2554617226611173,-1.055593885274099,-0.7562819810825158
8,1,MID,1.0,1.346954033969684,1.90441233344851,1.619853469616166,1.0955578221595013,0.12023535439707139,1.2196755722255321,0.5020454369985695,1.4607476679470912,0.5317383980297196,0.07199763318170709,0.5407110589008706,0.27478726951122523,0.07199763318170709,0.04444700371495167,-1.2165444914825607,-1.157534544381541,-1.0175404790804348,-0.7467262743995846
8,1,HIGH,1.0,1.3469540339696837,1.9044123334485095,0.9945836409847223,1.2905609907536708,0.12023535439707139,1.609107027417678,0.6765746895006599,1.4607476679470912,0.35079677845470586,0.16425073649317767,0.5872342187010754,0.36663095384131467,0.12023535439707139,0.07472178813986483,-1.0587735383261991,-1.029682208311872,-0.9439926000730268,-0.7274016404794912
8,2,LOW,0.9999999999999999,1.3204552666423899,1.940597407214545,0.10655302731375722,0.8022081738415805,0.8260687751988474,0.327065477498478,0.9764407776548422,0.9956755107630558,1.825619508986163,1.1305105676953462,0.6811520248827426,0.4357206229912838,0.10655302731375722,0.05836540790086661,-0.762836976829548,-0.7382534924209181,-0.670154143123912,-0.5094964012221553
8,2,MID,1.0,1.3204552666423899,1.940597407214545,0.4222553261641691,0.6527288730039905,0.6237146617489673,0.327065477498478,1.8039787650506067,0.9887690581866986,1.0888415086735899,1.2174046927088356,0.7770640521371722,0.6741628151199062,0.327065477498478,0.1813022879397934,-0.5033301835441015,-0.4974155195357043,-0.4768542469309857,-0.4019880426888206
8,2,HIGH,0.9999999999999999,1.3204552666423899,1.9405974072145449,0.5802739152169534,0.6527288730039905,0.591748422360392,0.42600146950717593,1.7734143727020515,1.159881445170764,1.336323708169838,0.6553618825527032,0.8024931690940439,0.7277419159237317,0.42600146950717593,0.24021541500089544,-0.4391828318881671,-0.43457665496733067,-0.4183835161236745,-0.3572542021495899
8,3,LOW,1.0,1.6041118612952527,3.013543383066577,0.7065988527926961,0.8682891169421991,0.03511814381311614,0.6210928898343302,2.1566105519487424,0.35902259617058013,1.0679013864576954,0.6629651124064933,0.5409786070215299,0.20862608283741532,0.03511814381311614,0.01628395251121391,-1.1927855131794056,-1.0850034103253712,-0.9317641990697847,-0.71157552926918
8,3,MID,1.0000000000000002,1.6041118612952527,3.013543383066577,0.7654186125451719,0.8346119163219221,0.17613007069234152,0.6210928898343302,2.1566105519487424,0.2643367792323726,1.0679013864576954,0.6629651124064933,0.6401630474832007,0.4853232758221184,0.17613007069234152,0.08166985482528963,-0.8892948297295861,-0.8751448860836417,-0.829150124027435,-0.6881123816852166
8,3,HIGH,1.0000000000000002,1.6041118612952527,3.013543383066577,0.4632191807296058,0.9465888121073812,0.31705238110150985,0.9455801319192099,2.1566105519487424,0.2813584779532204,0.9171051933532031,0.5688057766818266,0.6720460265996374,0.559708004278518,0.2813584779532204,0.13046327613438646,-0.7931613304995251,-0.7843540482053137,-0.7541101132044925,-0.6481143528406268
8,4,LOW,1.0,1.57322175975691,2.6439706191318058,1.2232865597614255,1.4697213546808132,0.1532531288233471,0.0011474849626312057,0.028071664146749414,0.6011826766352522,0.4543455937266968,1.9368435007850293,0.21575425961371297,0.008700400428765933,0.0011474849626312057,0.0005924510484022659,-2.2984035292494682,-1.929540273889861,-1.567823776578291,-1.117234927526571
8,4,MID,1.0000000000000004,1.5732217597569105,2.6439706191318066,1.1936816676497835,1.480603159526055,0.1532531288233471,0.0027240363980119814,0.31136220032376943,0.6942381808127962,0.17078817414542496,1.9368435007850293,0.2919338939142986,0.020716574994039373,0.0027240363980119814,0.0014064308225769878,-1.957250698152146,-1.7074110836786218,-1.4637977670630171,-1.0959582566239296
8,4,HIGH,1.0,1.5732217597569096,2.6439706191318044,1.197156418304276,1.4789402657383717,0.1532531288233471,0.008211500061140537,0.21207809855424029,0.6942381808127962,0.27873236651910666,1.9368435007850293,0.33964674256702654,0.057111567917881766,0.008211500061140537,0.004239630129028134,-1.913642028681731,-1.6802945295332876,-1.445040818713126,-1.0885506533525557
8,5,LOW,0.9999999999999998,1.6225274060823898,2.863114972555291,1.3741932533322987,1.1624653386985346,0.03693006283777588,0.26592199101562186,0.33399681658730446,2.0401354659096227,0.6438028683169337,0.0004218622282120215,0.20317060597709327,0.0033223884732070078,0.0004218622282120215,0.00020678147861320003,-2.189163277489132,-1.8551279836792265,-1.5232107462786044,-1.1072353461717959
8,5,MID,0.9999999999999998,1.6225274060823902,2.8631149725552913,0.45070071620972707,2.0052485190987452,0.0745038022027898,0.26592199101562186,0.9284074277707083,1.548826342431685,0.662403278253768,0.0006520893105660428,0.24030898205887016,0.005139192522510075,0.0006520893105660428,0.0003251912689900018,-1.9858461233389493,-1.713108521469302,-1.437067584419335,-1.0586881325120288
8,5,HIGH,1.0,1.6225274060823902,2.8631149725552913,0.39409581100023333,2.0052485190987452,0.17232476404700614,0.26592199101562186,0.9454866102128231,1.5461341177251706,0.662403278253768,0.0016720250964464168,0.29581314758767346,0.01303163203165822,0.0016720250964464168,0.0008338243766403103,-1.811857505887183,-1.5687076616127102,-1.347583054106937,-1.0289615471846343
