N,pair_id,member,p2,p3,p4,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,geometric_mean_logdet,harmonic_mean,minimum_singular_value,inverse_condition_number,low_tail_log_resolvent_lambda_0.02,low_tail_log_resolvent_lambda_0.05,low_tail_log_resolvent_lambda_0.10,low_tail_log_resolvent_lambda_0.20
8,0,A,1.0,2.101045211769015,4.907399444746777,0.9821698589874275,0.7089580405712175,0.5975755066664044,2.4819788918757335,0.11591090335182112,0.0030823859618486476,0.04352072522341621,0.0081404409406396,,,0.13789361943465359,0.01655021672865449,0.0030823859618486476,0.0012419065979723792,-3.2203037534977486,-2.6800372918510966,-2.158036946743818,-1.5304301257519455
8,0,B,1.0,2.101045211769015,4.907399444746777,0.9821698589874275,0.7089580405712175,0.5975750267191664,2.4819788918757335,0.11601160936636458,0.0067708972154856,0.04283605018376427,0.0081404409406396,,,0.1518624265049146,0.02605828889009591,0.0067708972154856,0.002728023690148531,-3.212728092813413,-2.6797505002081614,-2.158082516218475,-1.530438726663714
8,1,A,1.0,1.250911734379705,1.7066217547223457,1.6402221381845703,0.8803515471759583,0.6497932817531713,0.4166629798841839,1.1521278798964087,0.6152589683007348,0.5824905403254991,1.376072550303522,,,0.8285638335609339,0.753202150457736,0.4166629798841839,0.2540283844390459,-0.3752903207786894,-0.3709384054373507,-0.3556434605648696,-0.2979447440339752
8,1,B,1.0,1.250911734379705,1.7066217547223463,0.6213142672260562,1.0604297362840656,0.15473553085627528,0.7813460965009911,1.1521278798964087,0.6152589683007348,1.1188818953069608,1.7021085756685357,,,0.7567363713845285,0.5606349562465631,0.15473553085627528,0.09090814362150777,-0.5549269950793685,-0.5420557517499718,-0.5018978850952177,-0.38815235421596606
8,2,A,1.0,1.214528629544412,1.5766144978526937,1.0510231040155933,0.7280427519359082,0.6893795722063416,0.46691107484367195,1.3595775411034314,0.3643589362369998,1.545908671859453,1.1406190833810719,,,0.8252583944612638,0.7325357095539606,0.3643589362369998,0.23569240723563625,-0.38318116234515687,-0.37829395323175513,-0.36121415884724095,-0.297961094907544
8,2,B,1.0,1.2145286295444118,1.5766144978526935,0.9418496635394911,0.7280427519359082,0.6893795722063416,0.6819423354863458,1.386745486889403,0.16933652479221808,1.545908671859453,1.1406190833810719,,,0.7774582033424542,0.592488814926691,0.16933652479221808,0.10953850500659679,-0.501270524187598,-0.4902028488829079,-0.45492736466573824,-0.35082406804522603
8,3,A,1.0,1.2342789526598659,1.667118861114623,0.7271589396607161,0.8444487417360858,0.7964100850753199,0.6885443469302776,1.2703495429004328,1.0785511751486134,1.6797750168267647,0.22600697342199985,,,0.8043147483236357,0.6665717819380178,0.22600697342199985,0.1345459785733365,-0.4341136353469027,-0.42680749629587744,-0.40224829703597387,-0.32048191697855194
8,3,B,1.0,1.2342789526598659,1.667118861114623,0.7304997964930194,1.6472881787914864,0.7007703402891895,0.44601314887861127,1.2703495429004328,0.6843293027415857,1.2443477106404566,0.657502185412015,,,0.8480423634866953,0.7829257522316676,0.44601314887861127,0.2707559943796984,-0.32889882425426786,-0.3249726932195025,-0.31114162559945313,-0.25853887002404125
8,4,A,1.0,1.280896669284436,1.759725033161347,0.5708312065298917,0.13531465887841654,1.2740549038390512,0.6946319987735968,1.660776413001748,1.0497054955013245,0.43777452917728343,1.2240938302935291,,,0.7090141705170433,0.49929760363978093,0.13531465887841654,0.08147674655003312,-0.6844129760580382,-0.6677425934419368,-0.6174073260333252,-0.48225230811181874
8,4,B,0.9999999999999999,1.2808966692844361,1.7597250331613468,0.3555389117055659,0.39931790367265246,1.544657271929852,0.7452271960875986,1.0652881407914123,1.0497054955013245,0.43777452917728343,1.531156635998566,,,0.7691595345841672,0.6592549501187059,0.3555389117055659,0.2301733324062013,-0.5237233282201854,-0.5175171486487443,-0.49592406109770015,-0.4172004586643173
